audio_waves,samplerate,bit_lengths,seconds_length
"[ 0.08039279  0.07492562  0.05009662 ... -0.00675279 -0.00746942
  0.        ]",22050,107606,4.880090702947846
"[-0.01802488 -0.02030508 -0.01973093 ... -0.03729642 -0.07747563
  0.        ]",22050,125246,5.680090702947846
"[-0.00091682 -0.00190346 -0.00279265 ...  0.01826609 -0.01945854
  0.        ]",22050,99668,4.520090702947845
"[-0.04039545 -0.04813788 -0.04893711 ...  0.06665971  0.05497959
  0.        ]",22050,89966,4.080090702947846
"[ 0.01369388  0.0087586   0.00066301 ... -0.00218885  0.00874296
  0.        ]",22050,188750,8.560090702947846
"[-0.0001722   0.00454798  0.00859062 ... -0.10967528 -0.10182584
  0.        ]",22050,182576,8.280090702947845
"[-0.00026241 -0.00078053 -0.00095432 ... -0.01624821 -0.01456641
  0.        ]",22050,299882,13.600090702947846
"[-0.02516878 -0.02750552 -0.02185065 ... -0.06639306 -0.07765862
  0.        ]",22050,97904,4.440090702947846
[0.00296533 0.00128054 0.00062838 ... 0.00935799 0.00765997 0.        ],22050,259310,11.760090702947846
"[-0.00117991 -0.00113735  0.00058863 ...  0.0044702   0.00604958
  0.        ]",22050,104960,4.760090702947846
"[-0.05411259 -0.03654129  0.0095538  ...  0.00439414  0.00482115
  0.        ]",22050,119072,5.400090702947846
"[-0.02339217 -0.03414918 -0.04303525 ... -0.01051082 -0.00878215
  0.        ]",22050,95258,4.320090702947846
"[ 0.00088412  0.00858549  0.01728709 ...  0.00135668 -0.0452156
  0.        ]",22050,159644,7.240090702947846
"[-0.00721726 -0.00793976 -0.00542314 ... -0.00582538 -0.00563751
  0.        ]",22050,94376,4.280090702947846
"[-0.005676   -0.00260178  0.00585787 ... -0.0045183  -0.00405541
  0.        ]",22050,88202,4.000090702947846
"[-0.00948585 -0.0101696  -0.00843138 ... -0.0042232   0.00089582
  0.        ]",22050,197570,8.960090702947845
[0.00741373 0.00848307 0.00655035 ... 0.0423361  0.04240257 0.        ],22050,116426,5.280090702947846
"[-0.00316634 -0.00272143  0.00062768 ...  0.09753476  0.08016083
  0.        ]",22050,271658,12.320090702947846
"[ 0.11040133  0.12943792  0.11542704 ...  0.00072201 -0.00171695
  0.        ]",22050,113780,5.160090702947846
"[-0.04068452 -0.04335847 -0.01785603 ... -0.0035445  -0.00371829
  0.        ]",22050,196688,8.920090702947846
[0.0004522  0.00247563 0.00136605 ... 0.00204777 0.00711413 0.        ],22050,192278,8.720090702947846
"[-0.04299544 -0.04430306 -0.03332374 ... -0.15738435 -0.14650758
  0.        ]",22050,94376,4.280090702947846
[0.00889258 0.01091643 0.01043657 ... 0.04601248 0.02419615 0.        ],22050,164936,7.480090702947845
"[-0.07104463 -0.08024597 -0.06641646 ... -0.09286845 -0.07882854
  0.        ]",22050,229322,10.400090702947846
"[ 0.02134301  0.02905523  0.03326415 ... -0.13278313 -0.13870019
  0.        ]",22050,115544,5.240090702947846
"[-2.1662915e-04 -2.0960446e-04  5.3414471e-05 ... -1.6630415e-04
  1.5737194e-03  0.0000000e+00]",22050,152588,6.920090702947846
"[-0.03088721 -0.02635869 -0.01390988 ...  0.07686079  0.0738437
  0.        ]",22050,104078,4.720090702947846
"[ 0.          0.          0.         ... -0.00044585  0.00299013
  0.        ]",22050,198452,9.000090702947846
[0.00402682 0.00298473 0.00042823 ... 0.03053743 0.03587745 0.        ],22050,436592,19.800090702947845
"[-0.02526751 -0.02962387 -0.02773584 ... -0.02157969 -0.01626575
  0.        ]",22050,106724,4.840090702947846
"[ 0.08119687  0.08475892  0.06289419 ... -0.04794187 -0.04449918
  0.        ]",22050,159644,7.240090702947846
"[-0.00927972 -0.0114911  -0.01089821 ... -0.00412808 -0.00397448
  0.        ]",22050,165818,7.520090702947845
"[ 0.03458748  0.04670636  0.04223941 ... -0.01598201 -0.01647943
  0.        ]",22050,279596,12.680090702947846
[0.14082938 0.19054072 0.16718516 ... 0.0139443  0.00298408 0.        ],22050,194042,8.800090702947847
"[ 0.0016876   0.00099465  0.00010958 ... -0.05793793 -0.05620214
  0.        ]",22050,343982,15.600090702947846
[0.04418635 0.0468202  0.03379801 ... 0.03341546 0.03412126 0.        ],22050,130538,5.920090702947846
"[-0.03154509 -0.05359669 -0.06409723 ...  0.02089499  0.02459185
  0.        ]",22050,109370,4.960090702947846
"[9.578817e-05 1.365952e-04 1.694335e-04 ... 1.408742e-03 7.716810e-04
 0.000000e+00]",22050,407486,18.480090702947845
